ID,flag_1_2,flag_1_3,flag_1_4,flag_2_3,flag_2_4,flag_3_4,DTI,LTI,DSTI,LSTI
402,0,0,0,0,0,0,3.523036149,2.023687806,0.382700633,0.107753344
403,0,0,0,0,0,0,4.863574224,4.380201395,0.233061041,0.233061041
404,0,0,0,0,0,0,6.590554672,4.700671522,0.493317336,0.247867779
405,0,0,0,0,0,0,7.298303649,6.448962508,0.289447921,0.25877617
406,0,0,0,0,0,0,24.23150697,11.10025753,1.001154427,0.42843442
407,0,0,0,0,0,0,5.39033213,4.423961894,0.267306395,0.267306395
408,0,0,0,0,0,0,7.826658928,6.270406062,0.326461512,0.231913109
409,0,0,0,0,0,0,3.813489368,2.987506156,0.322650665,0.21693776
410,0,0,0,0,0,0,5.396474954,3.853432282,0.184441558,0.184441558
411,0,0,0,0,0,0,8.364773661,6.65227779,0.275500093,0.275500093
412,0,0,0,0,0,0,5.610782586,5.024000892,0.378947734,0.240039597
413,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
414,1,0,0,0,0,0,8.69138868,4.130747563,0.297540599,0.181980242
415,0,0,0,0,0,0,7.340614253,6.414799701,0.341088053,0.341088053
416,0,0,0,0,0,0,7.566447191,7.097019375,0.400795173,0.389199191
417,0,0,0,0,0,0,7.157928022,6.19472252,0.283253,0.254807451
418,0,0,0,0,0,0,5.674062215,5.07156896,0.280822127,0.272639348
419,0,0,0,0,0,0,6.77117224,6.157074068,0.058492204,0.058492204
420,0,0,0,0,0,0,7.83434305,6.665462644,0.25761082,0.25761082
421,0,0,0,0,0,0,5.361736165,1.886803284,0.413795479,0.132759
422,0,0,0,0,0,0,12.22766131,10.57277784,0.404384378,0.391495158
423,0,0,0,0,0,0,10.48447675,8.348666517,0.333186981,0.333186981
424,0,0,0,0,0,0,2.731104449,2.391481357,0.134397266,0.130533345
425,0,0,0,0,0,0,2.008323286,1.537931544,0.35249391,0.160873791
426,0,0,0,0,0,0,15.06285893,12.94694507,0.478426966,0.478426966
427,0,0,0,0,0,0,3.339139521,1.020773838,0.260921685,0.010717531
428,0,0,0,0,0,0,1.073070332,0.989421787,0.071582687,0.071582687
429,0,0,0,0,0,0,9.877271697,9.344138681,0.493451167,0.478709268
430,0,0,0,0,0,0,4.079888131,3.476975797,0.16201288,0.16201288
431,0,0,0,0,0,0,4.849756942,4.317534465,0.240178881,0.226297238
432,0,0,0,0,0,0,2.987709374,2.072989709,0.159672032,0.08822696
433,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
434,0,0,0,0,0,0,3.205179236,3.04955581,0.160076079,0.155470665
435,0,0,0,0,0,0,14.79182065,12.75306871,0.488723099,0.488723099
436,0,0,0,0,0,0,10.93906492,9.487774943,0.433862318,0.414616631
437,0,0,0,0,0,0,4.778929545,3.896623733,0.385730372,0.17875326
438,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
439,0,0,0,0,0,0,2.457639364,1.907327817,0.312116404,0.185038438
440,0,0,0,0,0,0,6.080244175,5.516837178,0.403536314,0.403536314
441,0,0,0,0,0,0,5.924097072,5.266971567,0.436677326,0.280449171
442,0,0,0,0,0,0,4.322214375,3.906302787,0.214359109,0.207996507
443,0,0,0,0,0,0,4.699252033,3.017249935,0.347160651,0.126392024
444,0,0,0,0,0,0,3.450771613,3.131687458,0.2265755,0.2265755
445,0,0,0,0,0,0,6.838230278,5.340430484,0.271554879,0.262761353
446,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
447,0,0,0,0,0,0,8.978226189,7.734499777,0.295951365,0.286396758
448,0,0,0,0,0,0,2.698914596,2.127536467,0.213916613,0.213883702
449,0,0,0,0,0,0,5.858224842,4.734926772,0.215360471,0.205985417
450,0,0,0,0,0,0,3.367850437,2.653680772,0.338485416,0.188994047
451,0,0,0,0,0,0,11.1237443,9.349364724,0.397036355,0.366030745
452,0,0,0,0,0,0,3.511061644,2.568493151,0.218835616,0.115463014
453,0,0,0,0,0,0,2.265496766,0.582916123,0.258162766,0.059021963
454,0,0,0,0,0,0,2.750949162,2.357039326,0.196727959,0.102643772
455,0,0,0,0,0,0,6.123535997,5.408333751,0.342438975,0.288145958
456,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
457,0,0,0,0,0,0,4.766687135,2.422502022,0.485274935,0.102469967
458,0,0,0,0,0,0,4.014604899,3.10369937,0.226317655,0.226317655
459,0,0,0,0,0,0,9.592968993,8.295879039,0.707666256,0.707666256
460,0,0,0,0,0,0,7.388738006,4.826025781,0.457380898,0.199654845
461,0,0,0,0,0,0,5.863521416,4.840191652,0.476470858,0.310961714
462,0,0,0,0,0,0,3.762065401,2.167852914,0.401893385,0.163241979
463,0,0,0,0,0,0,6.215034829,5.342596362,0.222025045,0.222025045
464,0,0,0,0,0,0,2.629883382,1.702623907,0.19941691,0.085116035
465,0,0,0,0,0,0,7.286124807,5.682190622,0.474921602,0.258417659
466,0,0,0,0,0,0,4.556529653,3.52734825,0.435463804,0.222496947
467,0,0,0,0,0,0,10.46132692,9.189506133,0.496233331,0.406685023
468,0,0,0,0,0,0,5.796320901,1.83510692,0.763863255,0.130348161
469,0,0,0,0,0,0,13.8783681,12.35233949,0.691656897,0.691656897
470,0,0,0,0,0,0,4.367700546,3.785825219,0.059491539,0.039751165
471,0,0,0,0,0,0,4.539921209,3.680180791,0.250921418,0.17352387
472,0,0,0,0,0,0,3.880232056,3.144887408,0.22007,0.157237378
